subj,map,edges,value
101,1,-90,1
101,2,-90,NaN
101,1,-70,1
101,2,-70,NaN
101,1,-50,1
101,2,-50,1
101,1,-30,1
101,2,-30,1
101,1,-10,0
101,2,-10,0.818181818181818
101,1,10,-0.4
101,2,10,-0.142857142857143
101,1,30,NaN
101,2,30,-0.5
101,1,50,-1
101,2,50,-1
101,1,70,NaN
101,2,70,-1
101,1,90,NaN
101,2,90,-1
102,1,-90,NaN
102,2,-90,1
102,1,-70,1
102,2,-70,1
102,1,-50,1
102,2,-50,0.333333333333333
102,1,-30,1
102,2,-30,1
102,1,-10,0.6
102,2,-10,0.2
102,1,10,-0.2
102,2,10,-0.5
102,1,30,-1
102,2,30,-0.666666666666667
102,1,50,-1
102,2,50,-1
102,1,70,-1
102,2,70,NaN
102,1,90,-1
102,2,90,NaN
103,1,-90,NaN
103,2,-90,1
103,1,-70,NaN
103,2,-70,1
103,1,-50,0.6
103,2,-50,1
103,1,-30,0.333333333333333
103,2,-30,1
103,1,-10,0.5
103,2,-10,0
103,1,10,-0.555555555555556
103,2,10,-1
103,1,30,-0.6
103,2,30,-1
103,1,50,-1
103,2,50,-0.8
103,1,70,0
103,2,70,NaN
103,1,90,-1
103,2,90,NaN
104,1,-90,1
104,2,-90,NaN
104,1,-70,1
104,2,-70,NaN
104,1,-50,1
104,2,-50,0.75
104,1,-30,1
104,2,-30,1
104,1,-10,0.714285714285714
104,2,-10,0.333333333333333
104,1,10,-1
104,2,10,-0.8
104,1,30,-0.714285714285714
104,2,30,-0.75
104,1,50,-1
104,2,50,-1
104,1,70,NaN
104,2,70,-1
104,1,90,NaN
104,2,90,-1
105,1,-90,1
105,2,-90,NaN
105,1,-70,1
105,2,-70,NaN
105,1,-50,1
105,2,-50,0.75
105,1,-30,1
105,2,-30,0.5
105,1,-10,0.6
105,2,-10,0.666666666666667
105,1,10,-0.4
105,2,10,-0.25
105,1,30,1
105,2,30,-0.75
105,1,50,-1
105,2,50,-1
105,1,70,NaN
105,2,70,-1
105,1,90,NaN
105,2,90,-1
106,1,-90,NaN
106,2,-90,1
106,1,-70,NaN
106,2,-70,0
106,1,-50,1
106,2,-50,0.666666666666667
106,1,-30,1
106,2,-30,0.777777777777778
106,1,-10,0.75
106,2,-10,0.428571428571429
106,1,10,-0.4
106,2,10,-0.230769230769231
106,1,30,-1
106,2,30,-1
106,1,50,-1
106,2,50,-1
106,1,70,-0.333333333333333
106,2,70,NaN
106,1,90,-0.6
106,2,90,NaN
107,1,-90,NaN
107,2,-90,1
107,1,-70,NaN
107,2,-70,NaN
107,1,-50,0.666666666666667
107,2,-50,0.6
107,1,-30,0
107,2,-30,1
107,1,-10,0.2
107,2,-10,-0.636363636363636
107,1,10,-0.333333333333333
107,2,10,-0.272727272727273
107,1,30,-0.5
107,2,30,-0.2
107,1,50,-0.5
107,2,50,-1
107,1,70,-1
107,2,70,NaN
107,1,90,-1
107,2,90,NaN
108,1,-90,1
108,2,-90,NaN
108,1,-70,0.2
108,2,-70,NaN
108,1,-50,1
108,2,-50,1
108,1,-30,0.777777777777778
108,2,-30,NaN
108,1,-10,0.333333333333333
108,2,-10,0.6
108,1,10,-0.111111111111111
108,2,10,0.4
108,1,30,-1
108,2,30,-0.333333333333333
108,1,50,-1
108,2,50,-0.333333333333333
108,1,70,NaN
108,2,70,1
108,1,90,NaN
108,2,90,-1
109,1,-90,1
109,2,-90,NaN
109,1,-70,1
109,2,-70,NaN
109,1,-50,NaN
109,2,-50,1
109,1,-30,1
109,2,-30,0.5
109,1,-10,0.333333333333333
109,2,-10,0.333333333333333
109,1,10,-0.8
109,2,10,-0.2
109,1,30,0.333333333333333
109,2,30,-0.8
109,1,50,-1
109,2,50,NaN
109,1,70,NaN
109,2,70,-1
109,1,90,NaN
109,2,90,-1
110,1,-90,NaN
110,2,-90,0.5
110,1,-70,NaN
110,2,-70,0.5
110,1,-50,1
110,2,-50,0
110,1,-30,NaN
110,2,-30,0.142857142857143
110,1,-10,-0.2
110,2,-10,0.4
110,1,10,0.2
110,2,10,-0.454545454545455
110,1,30,-0.4
110,2,30,1
110,1,50,-1
110,2,50,-0.25
110,1,70,1
110,2,70,NaN
110,1,90,-1
110,2,90,NaN
111,1,-90,NaN
111,2,-90,0
111,1,-70,NaN
111,2,-70,-0.333333333333333
111,1,-50,-0.111111111111111
111,2,-50,0.333333333333333
111,1,-30,0.5
111,2,-30,0.2
111,1,-10,-0.272727272727273
111,2,-10,-0.2
111,1,10,0.333333333333333
111,2,10,0
111,1,30,-0.2
111,2,30,NaN
111,1,50,NaN
111,2,50,-0.2
111,1,70,-1
111,2,70,NaN
111,1,90,-0.75
111,2,90,NaN
112,1,-90,1
112,2,-90,NaN
112,1,-70,1
112,2,-70,NaN
112,1,-50,1
112,2,-50,1
112,1,-30,-0.25
112,2,-30,1
112,1,-10,-0.0909090909090909
112,2,-10,0
112,1,10,-0.777777777777778
112,2,10,-0.2
112,1,30,-0.714285714285714
112,2,30,-0.6
112,1,50,-1
112,2,50,-0.6
112,1,70,NaN
112,2,70,-1
112,1,90,NaN
112,2,90,-1
113,1,-90,1
113,2,-90,NaN
113,1,-70,1
113,2,-70,NaN
113,1,-50,1
113,2,-50,0.555555555555556
113,1,-30,1
113,2,-30,-1
113,1,-10,-0.333333333333333
113,2,-10,0.6
113,1,10,-0.555555555555556
113,2,10,0
113,1,30,-1
113,2,30,-1
113,1,50,-0.8
113,2,50,-0.333333333333333
113,1,70,NaN
113,2,70,-1
113,1,90,NaN
113,2,90,-0.5
114,1,-90,NaN
114,2,-90,0.5
114,1,-70,NaN
114,2,-70,0.5
114,1,-50,0.25
114,2,-50,1
114,1,-30,1
114,2,-30,0
114,1,-10,0.2
114,2,-10,-0.5
114,1,10,0.4
114,2,10,-0.142857142857143
114,1,30,0.4
114,2,30,0.2
114,1,50,-1
114,2,50,-0.6
114,1,70,0
114,2,70,NaN
114,1,90,-0.5
114,2,90,NaN
115,1,-90,NaN
115,2,-90,1
115,1,-70,NaN
115,2,-70,1
115,1,-50,1
115,2,-50,1
115,1,-30,0.5
115,2,-30,1
115,1,-10,0.2
115,2,-10,0.2
115,1,10,-0.8
115,2,10,-0.777777777777778
115,1,30,-0.6
115,2,30,-1
115,1,50,-1
115,2,50,-1
115,1,70,-1
115,2,70,NaN
115,1,90,-0.6
115,2,90,NaN
116,1,-90,-0.6
116,2,-90,NaN
116,1,-70,-0.333333333333333
116,2,-70,NaN
116,1,-50,-0.333333333333333
116,2,-50,0.2
116,1,-30,0.111111111111111
116,2,-30,-0.5
116,1,-10,0.2
116,2,-10,0
116,1,10,-0.25
116,2,10,-0.333333333333333
116,1,30,0
116,2,30,0.111111111111111
116,1,50,0.2
116,2,50,1
116,1,70,NaN
116,2,70,-0.5
116,1,90,NaN
116,2,90,0.333333333333333
117,1,-90,-0.6
117,2,-90,NaN
117,1,-70,-0.333333333333333
117,2,-70,NaN
117,1,-50,-1
117,2,-50,0.111111111111111
117,1,-30,-0.2
117,2,-30,-1
117,1,-10,0
117,2,-10,0
117,1,10,-0.111111111111111
117,2,10,0
117,1,30,1
117,2,30,-0.333333333333333
117,1,50,0
117,2,50,0
117,1,70,NaN
117,2,70,0
117,1,90,NaN
117,2,90,0.333333333333333
118,1,-90,NaN
118,2,-90,0.666666666666667
118,1,-70,NaN
118,2,-70,1
118,1,-50,1
118,2,-50,1
118,1,-30,1
118,2,-30,0.142857142857143
118,1,-10,-1
118,2,-10,-0.111111111111111
118,1,10,0
118,2,10,-0.142857142857143
118,1,30,-0.555555555555556
118,2,30,-0.5
118,1,50,-1
118,2,50,-0.777777777777778
118,1,70,-1
118,2,70,-1
118,1,90,-1
118,2,90,NaN
119,1,-90,NaN
119,2,-90,1
119,1,-70,NaN
119,2,-70,1
119,1,-50,1
119,2,-50,1
119,1,-30,1
119,2,-30,0.8
119,1,-10,0.6
119,2,-10,0.4
119,1,10,-0.111111111111111
119,2,10,0.2
119,1,30,-1
119,2,30,NaN
119,1,50,-1
119,2,50,-0.8
119,1,70,-1
119,2,70,NaN
119,1,90,-1
119,2,90,NaN
120,1,-90,1
120,2,-90,NaN
120,1,-70,1
120,2,-70,NaN
120,1,-50,0
120,2,-50,0.6
120,1,-30,1
120,2,-30,0.333333333333333
120,1,-10,0.2
120,2,-10,0.230769230769231
120,1,10,-0.2
120,2,10,0
120,1,30,0
120,2,30,-0.2
120,1,50,-0.666666666666667
120,2,50,NaN
120,1,70,0
120,2,70,-1
120,1,90,NaN
120,2,90,-0.714285714285714
121,1,-90,-0.2
121,2,-90,NaN
121,1,-70,-1
121,2,-70,NaN
121,1,-50,0.333333333333333
121,2,-50,0.75
121,1,-30,0.4
121,2,-30,0
121,1,-10,-0.2
121,2,-10,0.2
121,1,10,-0.25
121,2,10,0
121,1,30,0
121,2,30,0.2
121,1,50,0
121,2,50,-1
121,1,70,NaN
121,2,70,-1
121,1,90,NaN
121,2,90,-0.5
122,1,-90,NaN
122,2,-90,1
122,1,-70,NaN
122,2,-70,1
122,1,-50,1
122,2,-50,1
122,1,-30,1
122,2,-30,0.555555555555556
122,1,-10,0.6
122,2,-10,-0.142857142857143
122,1,10,-0.4
122,2,10,-0.142857142857143
122,1,30,-0.4
122,2,30,NaN
122,1,50,-1
122,2,50,-1
122,1,70,-1
122,2,70,NaN
122,1,90,-1
122,2,90,NaN
123,1,-90,NaN
123,2,-90,0.666666666666667
123,1,-70,NaN
123,2,-70,1
123,1,-50,0
123,2,-50,0
123,1,-30,0
123,2,-30,0.714285714285714
123,1,-10,0.285714285714286
123,2,-10,0.384615384615385
123,1,10,0
123,2,10,0
123,1,30,-0.333333333333333
123,2,30,NaN
123,1,50,-0.5
123,2,50,-0.8
123,1,70,1
123,2,70,NaN
123,1,90,-1
123,2,90,NaN
124,1,-90,1
124,2,-90,NaN
124,1,-70,1
124,2,-70,NaN
124,1,-50,0.333333333333333
124,2,-50,0.75
124,1,-30,0.8
124,2,-30,1
124,1,-10,0.4
124,2,-10,0.692307692307692
124,1,10,-1
124,2,10,-0.666666666666667
124,1,30,-1
124,2,30,-0.8
124,1,50,-0.6
124,2,50,-1
124,1,70,NaN
124,2,70,-1
124,1,90,NaN
124,2,90,-1
125,1,-90,1
125,2,-90,NaN
125,1,-70,0.6
125,2,-70,NaN
125,1,-50,1
125,2,-50,0.714285714285714
125,1,-30,0.714285714285714
125,2,-30,0.333333333333333
125,1,-10,-0.272727272727273
125,2,-10,0.4
125,1,10,-0.0909090909090909
125,2,10,0.2
125,1,30,-0.5
