participant_id	age	sex
sub-101	32	M
sub-102	27	M
sub-103	20	F
sub-104	24	F
sub-105	26	F
sub-106	33	F
sub-107	27	F
sub-108	30	F
sub-109	22	M
sub-110	32	M
sub-111	27	M
sub-112	29	F
sub-113	33	F
sub-114	27	M
sub-115	31	M
sub-116	30	F
sub-117	28	F
sub-118	29	M
sub-119	23	M
sub-120	24	F
sub-121	34	M
sub-122	26	M
sub-123	25	F
sub-124	25	F
sub-125	33	M
sub-126	28	M
sub-127	22	M
sub-128	26	F
sub-129	30	M
sub-130	22	M
sub-131	22	F
sub-132	28	F
sub-133	23	M
sub-134	21	M
sub-135	23	F
sub-136	28	F
sub-137	30	F
sub-138	23	M
sub-139	26	M
sub-140	23	M
sub-141	28	M
sub-142	22	F
sub-143	31	F
sub-144	30	F
sub-145	27	M
sub-146	25	M
sub-147	21	M
sub-148	22	F
sub-149	31	F
sub-150	33	M
sub-151	26	M
