x_obj,y_obj,values_map1,values_map2,io_map1,io_map2
0.27,0.72,0.759511501145757,44.4858066222941,0,0
0.54,0.27,4.89356064113839,16.1621192465339,0,0
0.18,0.27,11.0002740485006,50.2328997724975,0,0
0.72,-0.27,14.0261042959477,1.67308660338568,0,0
0.27,-0.54,70.8751717969681,2.61214098539182,1,0
0.27,-0.18,43.594028762536,13.199384318783,0,1
-0.27,-0.72,90.3707077873196,1.88923160081495,0,0
-0.54,-0.27,43.594028762536,16.1621192465339,0,0
-0.18,-0.27,70.8751717969681,19.0043934374881,0,0
-0.72,0.27,4.89356064113839,50.2328997724974,0,0
-0.27,0.54,3.00994012334975,100,1,0
-0.27,0.18,17.884245506376,72.3250242379842,0,1
