Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21
101,1,1,1,1,0.5,0.3,NaN,0,NaN,NaN,NaN,NaN,1,1,0.909090909090909,0.428571428571428,0.25,0,0,0
102,NaN,1,1,1,0.8,0.4,0,0,0,0,1,1,0.666666666666667,1,0.6,0.25,0.166666666666667,0,NaN,NaN
103,NaN,NaN,0.8,0.666666666666667,0.75,0.222222222222222,0.2,0,0.5,0,1,1,1,1,0.5,0,0,0.1,NaN,NaN
104,1,1,1,1,0.857142857142857,0,0.142857142857143,0,NaN,NaN,NaN,NaN,0.875,1,0.666666666666667,0.1,0.125,0,0,0
105,1,1,1,1,0.8,0.3,1,0,NaN,NaN,NaN,NaN,0.875,0.75,0.833333333333333,0.375,0.125,0,0,0
106,NaN,NaN,1,1,0.875,0.3,0,0,0.333333333333333,0.2,1,0.5,0.833333333333333,0.888888888888889,0.714285714285715,0.384615384615384,0,0,NaN,NaN
107,NaN,NaN,0.833333333333333,0.5,0.6,0.333333333333333,0.25,0.25,0,0,1,NaN,0.8,1,0.181818181818182,0.363636363636364,0.4,0,NaN,NaN
108,1,0.6,1,0.888888888888889,0.666666666666667,0.444444444444445,0,0,NaN,NaN,NaN,NaN,1,NaN,0.8,0.7,0.333333333333333,0.333333333333333,1,0
109,1,1,NaN,1,0.666666666666667,0.1,0.666666666666667,0,NaN,NaN,NaN,NaN,1,0.75,0.666666666666667,0.4,0.1,NaN,0,0
110,NaN,NaN,1,NaN,0.4,0.6,0.3,0,1,0,0.75,0.75,0.5,0.571428571428572,0.7,0.272727272727272,1,0.375,NaN,NaN
111,NaN,NaN,0.444444444444445,0.75,0.363636363636364,0.666666666666667,0.4,NaN,0,0.125,0.5,0.333333333333333,0.666666666666667,0.6,0.4,0.5,NaN,0.4,NaN,NaN
112,1,1,1,0.375,0.454545454545454,0.111111111111111,0.142857142857143,0,NaN,NaN,NaN,NaN,1,1,0.5,0.4,0.2,0.2,0,0
113,1,1,1,1,0.333333333333333,0.222222222222222,0,0.1,NaN,NaN,NaN,NaN,0.777777777777778,0,0.8,0.5,0,0.333333333333333,0,0.25
114,NaN,NaN,0.625,1,0.6,0.7,0.7,0,0.5,0.25,0.75,0.75,1,0.5,0.25,0.428571428571428,0.6,0.2,NaN,NaN
115,NaN,NaN,1,0.75,0.6,0.1,0.2,0,0,0.2,1,1,1,1,0.6,0.111111111111111,0,0,NaN,NaN
116,0.2,0.333333333333333,0.333333333333333,0.555555555555555,0.6,0.375,0.5,0.6,NaN,NaN,NaN,NaN,0.6,0.25,0.5,0.333333333333333,0.555555555555555,1,0.25,0.666666666666667
117,0.2,0.333333333333333,0,0.4,0.5,0.444444444444445,1,0.5,NaN,NaN,NaN,NaN,0.555555555555555,0,0.5,0.5,0.333333333333333,0.5,0.5,0.666666666666667
118,NaN,NaN,1,1,0,0.5,0.222222222222222,0,0,0,0.833333333333333,1,1,0.571428571428572,0.444444444444445,0.428571428571428,0.25,0.111111111111111,0,NaN
119,NaN,NaN,1,1,0.8,0.444444444444445,0,0,0,0,1,1,1,0.9,0.7,0.6,NaN,0.1,NaN,NaN
120,1,1,0.5,1,0.6,0.4,0.5,0.166666666666667,0.5,NaN,NaN,NaN,0.8,0.666666666666667,0.615384615384616,0.5,0.4,NaN,0,0.142857142857143
122,NaN,NaN,1,1,0.8,0.3,0.3,0,0,0,1,1,1,0.777777777777778,0.428571428571428,0.428571428571428,NaN,0,NaN,NaN
123,NaN,NaN,0.5,0.5,0.642857142857143,0.5,0.333333333333333,0.25,1,0,0.833333333333333,1,0.5,0.857142857142857,0.692307692307693,0.5,NaN,0.1,NaN,NaN
124,1,1,0.666666666666667,0.9,0.7,0,0,0.2,NaN,NaN,NaN,NaN,0.875,1,0.846153846153846,0.166666666666667,0.1,0,0,0
125,1,0.8,1,0.857142857142857,0.363636363636364,0.454545454545454,0.25,0.428571428571428,NaN,NaN,NaN,NaN,0.857142857142857,0.666666666666667,0.7,0.6,0.1,0.25,0,0
126,NaN,NaN,0.625,0.333333333333333,0.5,0.2,0.5,0.5,NaN,0.25,0,0.333333333333333,0.5,0.3,0.4,0.7,0,0.25,NaN,NaN
127,NaN,NaN,0.5,1,0.5,0.416666666666667,0.25,0.75,0.333333333333333,0.333333333333333,0.875,0.5,NaN,0.5,0.75,0.416666666666667,0,0.111111111111111,NaN,NaN
128,0.25,0.5,0.5,0.555555555555555,0.545454545454546,0.4,NaN,0.6,NaN,NaN,NaN,NaN,0.571428571428572,0.666666666666667,0.583333333333333,0.307692307692307,0.6,0,0.25,0.5
129,1,1,1,0.9,0.8,0,0.333333333333333,0,NaN,NaN,NaN,NaN,1,1,0.6,0.5,0.1,NaN,0,0
130,NaN,NaN,0.5,0,0.3,0.5,0.2,0,0,0.166666666666667,0.75,0.666666666666667,1,0.888888888888889,0.5,0.4,1,0.375,NaN,NaN
