pid,run,x,y,object
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.15928,-3.9968,9
101,1,0.3972,-3.9183,0
101,1,1.8244,-3.4476,6
101,1,3.2517,-2.9768,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5371,-2.8826,6
101,1,3.5969,-3.2281,6
101,1,3.4431,-2.3396,6
101,1,3.2124,-1.0067,6
101,1,3.3064,-1.5497,6
101,1,3.5627,-3.0307,6
101,1,3.819,-4.5116,6
101,1,4.0753,-5.9926,5
101,1,4.3144,-7.3748,5
101,1,4.3144,-7.3748,5
101,1,4.3144,-7.3748,5
101,1,4.3144,-7.3748,5
101,1,4.3144,-7.3748,5
