pid,pe_spatial,pe_temporal
101,-3.232557037,-1.295983723
102,1.258513323,-0.1885614717
103,-3.439028434,4.039394204
104,10.94936562,3.653548096
105,6.861154062,-4.224859597
106,7.485906635,-9.209727066
107,3.617678825,-2.895411862
108,-1.981437454,1.42491845
109,3.171626924,-0.4005070733
110,-5.32727878,1.888214339
111,8.426187115,-0.8670479682
112,4.754632694,-5.259115807
113,1.27672654,-7.73095113
114,0.5318085177,-6.887364566
115,2.95743888,-9.796237729
116,-1.004013922,0.5444435296
117,-0.8829727301,0.2529991904
118,0.2311331114,0.05929760129
119,-5.235102372,9.807462139
120,8.700278367,-8.43330821
122,11.26705604,-11.20611567
123,-3.5611306,1.740067839
124,-2.610672055,-2.578034009
125,-0.7659938314,-1.582472697
126,-1.998639004,1.311751714
127,3.577882402,-5.00134269
128,-3.090115428,3.145154261
129,8.669365181,-4.231938568
130,3.015867906,-0.7740298424
131,0.6124696789,-3.457160409
132,1.706081386,8.401171679
133,1.761280779,4.57959471
134,-4.009106606,-1.733667408
135,1.385900546,-1.98764167
139,10.1742474,-9.788117119
140,0.02047570156,3.357582256
141,2.19733807,0.5900244259
142,-4.787684373,5.939871554
143,-6.154737639,1.695821387
144,-0.6033272307,0.2371386641
145,4.180321114,-5.054138179
146,-0.9831726807,4.102479735
147,8.120274095,-2.008237506
148,8.730104123,-7.057558102
149,-1.183773393,1.365623483
150,7.909455052,-9.596066432
151,3.022379205,-2.413920725
152,2.14281322,-2.317761808
