subj,trial,map,option1,option2,chosen_object,unchosen_object,chosen_value,unchosen_value,decision
101,1,1,8,4,4,8,14.0261042959477,43.594028762536,2
101,2,1,12,3,3,12,11.0002740485006,17.884245506376,2
101,3,1,2,12,12,2,17.884245506376,4.89356064113839,2
101,4,1,12,10,10,12,4.89356064113839,17.884245506376,2
101,5,1,9,4,9,4,70.8751717969681,14.0261042959477,1
101,6,1,2,8,8,2,43.594028762536,4.89356064113839,2
101,7,1,8,1,8,1,43.594028762536,0.759511501145757,1
101,8,1,12,10,10,12,4.89356064113839,17.884245506376,2
101,9,1,10,2,2,10,4.89356064113839,4.89356064113839,2
101,10,1,6,10,6,10,43.594028762536,4.89356064113839,1
101,11,2,1,10,1,10,44.4858066222941,50.2328997724974,1
101,12,2,10,9,10,9,50.2328997724974,19.0043934374881,1
101,13,2,5,7,5,7,2.61214098539182,1.88923160081495,1
101,14,2,5,8,8,5,16.1621192465339,2.61214098539182,2
101,15,2,11,4,11,4,100,1.67308660338568,1
101,16,2,3,1,3,1,50.2328997724975,44.4858066222941,1
101,17,2,4,3,3,4,50.2328997724975,1.67308660338568,2
101,18,2,3,8,3,8,50.2328997724975,16.1621192465339,1
101,19,2,8,7,7,8,1.88923160081495,16.1621192465339,2
101,20,2,10,2,2,10,16.1621192465339,50.2328997724974,2
101,21,1,3,12,12,3,17.884245506376,11.0002740485006,2
101,22,1,8,7,7,8,90.3707077873196,43.594028762536,2
101,23,1,7,4,7,4,90.3707077873196,14.0261042959477,1
101,24,1,2,7,7,2,90.3707077873196,4.89356064113839,2
101,25,1,4,10,4,10,14.0261042959477,4.89356064113839,1
101,26,1,7,3,7,3,90.3707077873196,11.0002740485006,1
101,27,1,8,6,6,8,43.594028762536,43.594028762536,2
101,28,1,10,6,6,10,43.594028762536,4.89356064113839,2
101,29,1,10,9,9,10,70.8751717969681,4.89356064113839,2
101,30,1,9,2,9,2,70.8751717969681,4.89356064113839,1
101,31,2,7,1,1,7,44.4858066222941,1.88923160081495,2
101,32,2,11,1,11,1,100,44.4858066222941,1
101,33,2,7,9,9,7,19.0043934374881,1.88923160081495,2
101,34,2,3,4,3,4,50.2328997724975,1.67308660338568,1
101,35,2,2,9,2,9,16.1621192465339,19.0043934374881,1
101,36,2,4,3,3,4,50.2328997724975,1.67308660338568,2
101,37,2,1,11,11,1,100,44.4858066222941,2
101,38,2,9,5,9,5,19.0043934374881,2.61214098539182,1
101,39,2,2,1,1,2,44.4858066222941,16.1621192465339,2
101,40,2,4,3,3,4,50.2328997724975,1.67308660338568,2
101,41,1,3,9,9,3,70.8751717969681,11.0002740485006,2
101,42,1,2,8,8,2,43.594028762536,4.89356064113839,2
101,43,1,3,1,3,1,11.0002740485006,0.759511501145757,1
101,44,1,12,9,9,12,70.8751717969681,17.884245506376,2
101,45,1,4,3,4,3,14.0261042959477,11.0002740485006,1
101,46,1,1,8,8,1,43.594028762536,0.759511501145757,2
101,47,1,3,1,3,1,11.0002740485006,0.759511501145757,1
101,48,1,4,7,7,4,90.3707077873196,14.0261042959477,2
101,49,1,3,9,9,3,70.8751717969681,11.0002740485006,2
101,50,1,10,6,6,10,43.594028762536,4.89356064113839,2
101,51,2,4,7,4,7,1.67308660338568,1.88923160081495,1
101,52,2,2,3,3,2,50.2328997724975,16.1621192465339,2
101,53,2,3,4,3,4,50.2328997724975,1.67308660338568,1
101,54,2,10,8,10,8,50.2328997724974,16.1621192465339,1
101,55,2,2,5,2,5,16.1621192465339,2.61214098539182,1
101,56,2,5,9,9,5,19.0043934374881,2.61214098539182,2
101,57,2,4,7,4,7,1.67308660338568,1.88923160081495,1
101,58,2,11,1,11,1,100,44.4858066222941,1
101,59,2,1,10,1,10,44.4858066222941,50.2328997724974,1
101,60,2,8,2,2,8,16.1621192465339,16.1621192465339,2
101,61,1,4,8,8,4,43.594028762536,14.0261042959477,2
101,62,1,10,9,9,10,70.8751717969681,4.89356064113839,2
101,63,1,1,2,2,1,4.89356064113839,0.759511501145757,2
101,64,1,7,4,7,4,90.3707077873196,14.0261042959477,1
101,65,1,1,2,2,1,4.89356064113839,0.759511501145757,2
101,66,1,1,10,10,1,4.89356064113839,0.759511501145757,2
101,67,1,4,12,4,12,14.0261042959477,17.884245506376,1
101,68,1,6,7,7,6,90.3707077873196,43.594028762536,2
101,69,1,2,3,3,2,11.0002740485006,4.89356064113839,2
101,70,1,6,1,6,1,43.594028762536,0.759511501145757,1
101,71,2,2,4,2,4,16.1621192465339,1.67308660338568,1
101,72,2,7,10,10,7,50.2328997724974,1.88923160081495,2
101,73,2,1,5,1,5,44.4858066222941,2.61214098539182,1
101,74,2,8,2,2,8,16.1621192465339,16.1621192465339,2
101,75,2,5,10,10,5,50.2328997724974,2.61214098539182,2
101,76,2,7,11,11,7,100,1.88923160081495,2
101,77,2,11,8,11,8,100,16.1621192465339,1
101,78,2,9,10,10,9,50.2328997724974,19.0043934374881,2
101,79,2,1,11,11,1,100,44.4858066222941,2
101,80,2,9,2,2,9,16.1621192465339,19.0043934374881,2
101,81,1,7,6,7,6,90.3707077873196,43.594028762536,1
101,82,1,9,3,9,3,70.8751717969681,11.0002740485006,1
101,83,1,6,8,6,8,43.594028762536,43.594028762536,1
101,84,1,9,12,9,12,70.8751717969681,17.884245506376,1
101,85,1,1,7,7,1,90.3707077873196,0.759511501145757,2
101,86,1,6,4,6,4,43.594028762536,14.0261042959477,1
101,87,1,9,2,9,2,70.8751717969681,4.89356064113839,1
101,88,1,12,6,6,12,43.594028762536,17.884245506376,2
101,89,1,8,12,8,12,43.594028762536,17.884245506376,1
101,90,1,7,1,7,1,90.3707077873196,0.759511501145757,1
101,91,2,8,9,9,8,19.0043934374881,16.1621192465339,2
101,92,2,5,2,2,5,16.1621192465339,2.61214098539182,2
101,93,2,10,4,10,4,50.2328997724974,1.67308660338568,1
101,94,2,8,5,8,5,16.1621192465339,2.61214098539182,1
101,95,2,9,11,11,9,100,19.0043934374881,2
101,96,2,11,5,11,5,100,2.61214098539182,1
101,97,2,10,7,10,7,50.2328997724974,1.88923160081495,1
101,98,2,7,3,3,7,50.2328997724975,1.88923160081495,2
101,99,2,3,11,11,3,100,50.2328997724975,2
101,100,2,9,8,8,9,16.1621192465339,19.0043934374881,2
102,1,2,7,1,7,1,1.88923160081495,44.4858066222941,1
102,2,2,3,5,3,5,50.2328997724975,2.61214098539182,1
102,3,2,5,7,5,7,2.61214098539182,1.88923160081495,1
102,4,2,9,8,8,9,16.1621192465339,19.0043934374881,2
102,5,2,1,2,1,2,44.4858066222941,16.1621192465339,1
102,6,2,8,1,1,8,44.4858066222941,16.1621192465339,2
102,7,2,3,7,3,7,50.2328997724975,1.88923160081495,1
102,8,2,8,10,10,8,50.2328997724974,16.1621192465339,2
102,9,2,5,10,10,5,50.2328997724974,2.61214098539182,2
102,10,2,5,11,11,5,100,2.61214098539182,2
102,11,1,10,2,2,10,4.89356064113839,4.89356064113839,2
102,12,1,10,4,10,4,4.89356064113839,14.0261042959477,1
102,13,1,9,10,9,10,70.8751717969681,4.89356064113839,1
102,14,1,8,2,8,2,43.594028762536,4.89356064113839,1
102,15,1,4,6,6,4,43.594028762536,14.0261042959477,2
102,16,1,1,3,1,3,0.759511501145757,11.0002740485006,1
102,17,1,10,1,10,1,4.89356064113839,0.759511501145757,1
102,18,1,8,3,8,3,43.594028762536,11.0002740485006,1
102,19,1,2,7,7,2,90.3707077873196,4.89356064113839,2
102,20,1,1,9,9,1,70.8751717969681,0.759511501145757,2
102,21,2,11,7,11,7,100,1.88923160081495,1
102,22,2,2,9,2,9,16.1621192465339,19.0043934374881,1
102,23,2,2,3,3,2,50.2328997724975,16.1621192465339,2
102,24,2,3,4,3,4,50.2328997724975,1.67308660338568,1
102,25,2,5,7,5,7,2.61214098539182,1.88923160081495,1
102,26,2,10,2,10,2,50.2328997724974,16.1621192465339,1
102,27,2,11,5,11,5,100,2.61214098539182,1
102,28,2,1,5,1,5,44.4858066222941,2.61214098539182,1
102,29,2,8,9,9,8,19.0043934374881,16.1621192465339,2
102,30,2,1,3,3,1,50.2328997724975,44.4858066222941,2
102,31,1,6,10,6,10,43.594028762536,4.89356064113839,1
102,32,1,12,7,7,12,90.3707077873196,17.884245506376,2
102,33,1,3,8,8,3,43.594028762536,11.0002740485006,2
102,34,1,7,12,7,12,90.3707077873196,17.884245506376,1
102,35,1,8,12,12,8,17.884245506376,43.594028762536,2
102,36,1,7,12,7,12,90.3707077873196,17.884245506376,1
102,37,1,3,9,9,3,70.8751717969681,11.0002740485006,2
102,38,1,12,3,12,3,17.884245506376,11.0002740485006,1
102,39,1,9,4,9,4,70.8751717969681,14.0261042959477,1
102,40,1,6,8,8,6,43.594028762536,43.594028762536,2
102,41,2,9,7,9,7,19.0043934374881,1.88923160081495,1
102,42,2,7,11,11,7,100,1.88923160081495,2
