choices,choice_indices,rewards,regret,RPE
7.0,0.0,43.0,0.0,-43.0
11.0,0.0,17.0,0.0,0.0
1.0,0.0,4.0,13.0,0.7071067811865476
9.0,1.0,4.0,13.0,1.0991255115101284
8.0,0.0,70.0,0.0,0.6859943405700354
7.0,1.0,43.0,0.0,-0.6649991526932653
7.0,0.0,43.0,0.0,0.044516584426009864
11.0,0.0,17.0,0.0,-1.0581936636004934
1.0,1.0,4.0,0.0,-0.5363194123350817
5.0,0.0,43.0,0.0,0.9452369911189548
0.0,0.0,44.0,6.0,-44.0
9.0,0.0,50.0,0.0,0.0
6.0,1.0,1.0,1.0,-0.7071066511384514
7.0,1.0,16.0,0.0,0.992015817130913
10.0,0.0,100.0,0.0,1.441554077525632
2.0,0.0,50.0,0.0,-0.8452066132676632
2.0,1.0,50.0,0.0,0.051308321669153334
2.0,0.0,50.0,0.0,0.03403436208918839
7.0,0.0,16.0,0.0,-1.210988707754664
9.0,0.0,50.0,0.0,1.2296407361601245
2.0,0.0,11.0,6.0,-1.4060667673907665
6.0,1.0,90.0,0.0,1.7594658640502603
6.0,0.0,90.0,0.0,0.1954455958985386
6.0,1.0,90.0,0.0,0.12807193268423278
3.0,0.0,14.0,0.0,-1.784550219083126
6.0,0.0,90.0,0.0,2.2963133420942397
7.0,0.0,43.0,0.0,-1.267767971887108
5.0,1.0,43.0,0.0,-0.03968226480036907
8.0,1.0,70.0,0.0,0.7168580470924454
8.0,0.0,70.0,0.0,-0.06095849324104363
0.0,1.0,44.0,0.0,-0.7982491877304773
10.0,0.0,100.0,0.0,1.925583061512389
8.0,1.0,19.0,0.0,-2.4848619490005923
2.0,0.0,50.0,0.0,1.047064737693947
1.0,0.0,16.0,3.0,-0.47385494593655125
2.0,1.0,50.0,0.0,1.1674546356936426
10.0,1.0,100.0,0.0,1.7336667861053499
4.0,1.0,2.0,17.0,-2.121684217920335
0.0,1.0,44.0,0.0,1.344528182652623
2.0,1.0,50.0,0.0,0.1966874880719456
8.0,1.0,70.0,0.0,0.5884049454479123
7.0,1.0,43.0,0.0,-0.8271756825234551
0.0,1.0,0.0,11.0,-0.6876823699611435
8.0,1.0,70.0,0.0,2.143011416596532
3.0,0.0,14.0,0.0,-1.6772135430985071
7.0,1.0,43.0,0.0,0.953096428681061
2.0,0.0,11.0,0.0,-1.1106721071544632
6.0,1.0,90.0,0.0,2.537060655740385
8.0,1.0,70.0,0.0,-0.6319384780582247
5.0,1.0,43.0,0.0,-0.8640175258009186
3.0,0.0,3.0,0.0,-0.6351782198901417
2.0,1.0,50.0,0.0,1.5172197567995793
2.0,0.0,50.0,0.0,0.0008599433619670693
9.0,0.0,50.0,0.0,0.04808119856632853
1.0,0.0,16.0,0.0,-1.1607973765621995
8.0,1.0,19.0,0.0,0.04836350686454294
3.0,0.0,3.0,0.0,-0.47667341949892283
10.0,0.0,100.0,0.0,3.2552396315628647
9.0,1.0,50.0,0.0,-1.5209507441473438
7.0,0.0,16.0,0.0,-1.113440412336988
7.0,1.0,43.0,0.0,0.9066612988666906
8.0,1.0,70.0,0.0,0.8680947337091091
0.0,0.0,0.0,4.0,-2.128583951322103
6.0,0.0,90.0,0.0,2.878480947973579
1.0,1.0,4.0,0.0,-2.640100025836867
9.0,1.0,4.0,0.0,0.17636454266208323
11.0,1.0,17.0,0.0,0.43198488057763185
6.0,1.0,90.0,0.0,2.2714988094427877
2.0,1.0,11.0,0.0,-2.3416813050310825
5.0,0.0,43.0,0.0,0.9954140256235449
1.0,0.0,16.0,0.0,-0.8823750314805449
9.0,1.0,50.0,0.0,1.1816630828418302
0.0,0.0,44.0,0.0,-0.13988288668529564
7.0,0.0,16.0,0.0,-0.958476848572755
9.0,1.0,50.0,0.0,1.2191592784279577
10.0,1.0,100.0,0.0,1.6699246292232117
10.0,0.0,100.0,0.0,0.004222384010328595
9.0,1.0,50.0,0.0,-1.5544656468153655
10.0,1.0,100.0,0.0,1.595632844157847
8.0,0.0,19.0,0.0,-2.583279954504937
6.0,0.0,90.0,0.0,2.2018041851065435
8.0,0.0,70.0,0.0,-0.6116326804375258
7.0,1.0,43.0,0.0,-0.8032418881418698
8.0,0.0,70.0,0.0,0.8139626552586697
6.0,1.0,90.0,0.0,0.6014414487726902
5.0,0.0,43.0,0.0,-1.4506685097765584
8.0,0.0,70.0,0.0,0.8188317391988932
5.0,1.0,43.0,0.0,-0.8569702046367749
7.0,0.0,43.0,0.0,0.03934777328413633
6.0,0.0,90.0,0.0,1.5008187463094964
8.0,1.0,19.0,0.0,-2.291749544368801
1.0,1.0,16.0,0.0,-0.05212203552456984
9.0,0.0,50.0,0.0,1.120503059309586
7.0,0.0,16.0,0.0,-1.0847116758902542
10.0,1.0,100.0,0.0,2.694603544275975
10.0,0.0,100.0,0.0,-0.01488384679903998
9.0,0.0,50.0,0.0,-1.5118810122955488
2.0,1.0,50.0,0.0,-0.0037355376385023453
10.0,1.0,100.0,0.0,1.54237851261163
8.0,0.0,19.0,0.0,-2.5216995347798683
6.0,0.0,1.0,43.0,-1.0
2.0,0.0,50.0,0.0,0.0
4.0,0.0,2.0,0.0,-0.7194972572648864
8.0,0.0,19.0,0.0,0.6601485339621989
1.0,1.0,16.0,28.0,0.9265983837330818
0.0,1.0,44.0,0.0,0.30482216111814714
2.0,0.0,50.0,0.0,0.12258808322490189
7.0,0.0,16.0,34.0,-1.029300470931331
9.0,1.0,50.0,0.0,0.4603837871389331
10.0,1.0,100.0,0.0,-1.0184888334009639
9.0,0.0,4.0,0.0,-4.0
9.0,0.0,4.0,10.0,0.0
8.0,0.0,70.0,0.0,0.0
7.0,0.0,43.0,0.0,-0.9998143622855471
3.0,0.0,14.0,29.0,-0.40002768453476006
0.0,0.0,0.0,11.0,0.45029358587573426
9.0,0.0,4.0,0.0,0.08760085451827282
7.0,0.0,43.0,0.0,1.4849475815562225
6.0,1.0,90.0,0.0,-0.6292405979340485
8.0,1.0,70.0,0.0,-0.4360283253087289
10.0,0.0,100.0,0.0,0.888918090500459
8.0,1.0,19.0,0.0,-2.102774006584081
2.0,1.0,50.0,0.0,0.8958262770557742
2.0,0.0,50.0,0.0,0.001615342370486439
4.0,0.0,2.0,0.0,-1.4906664727537131
