choices,choice_indices,rewards,regret,RPE
7.0,0.0,43.0,0.0,-43.0
11.0,0.0,17.0,0.0,0.0
1.0,0.0,4.0,13.0,0.7071067811865476
9.0,1.0,4.0,13.0,0.816496580927726
8.0,0.0,70.0,0.0,0.6859943405700354
7.0,1.0,43.0,0.0,-0.6455187196955509
7.0,0.0,43.0,0.0,0.06013855523027117
11.0,0.0,17.0,0.0,-1.1152500552366962
9.0,0.0,4.0,0.0,-0.6542910049261944
5.0,0.0,43.0,0.0,0.9452369911189548
0.0,0.0,44.0,6.0,-44.0
9.0,0.0,50.0,0.0,0.0
4.0,0.0,2.0,0.0,-0.7071067811865475
7.0,1.0,16.0,0.0,0.9955849673999579
10.0,0.0,100.0,0.0,0.5244727192503176
0.0,1.0,44.0,6.0,-1.2295595669157724
3.0,0.0,3.0,47.0,-0.04001200540270153
2.0,0.0,50.0,0.0,0.9367175359943338
6.0,1.0,1.0,15.0,-0.35451795042477785
9.0,0.0,50.0,0.0,1.490383706761798
2.0,0.0,11.0,6.0,-0.9007179505571258
7.0,0.0,43.0,47.0,1.486353593286883
6.0,0.0,90.0,0.0,-0.6604569020777016
6.0,1.0,90.0,0.0,0.39550432572228633
3.0,0.0,14.0,0.0,-1.5978068837204733
6.0,0.0,90.0,0.0,2.6727786980774173
7.0,0.0,43.0,0.0,-1.3675317820285453
5.0,1.0,43.0,0.0,0.004751427765056687
8.0,1.0,70.0,0.0,0.9515418743131048
8.0,0.0,70.0,0.0,0.068827632860888
0.0,1.0,44.0,0.0,-0.7621729139659412
10.0,0.0,100.0,0.0,2.0207736346051846
8.0,1.0,19.0,0.0,-1.549738576286494
2.0,0.0,50.0,0.0,0.9524577168288562
1.0,0.0,16.0,3.0,-0.2868959635880673
2.0,1.0,50.0,0.0,1.0994763440078597
10.0,1.0,100.0,0.0,1.7628030909922159
8.0,0.0,19.0,0.0,-2.37809945826463
0.0,1.0,44.0,0.0,0.7707156456489627
2.0,1.0,50.0,0.0,0.20608112402716636
8.0,1.0,70.0,0.0,0.7295273473718407
7.0,1.0,43.0,0.0,-0.9049929628355887
0.0,1.0,0.0,11.0,0.03011445220352247
8.0,1.0,70.0,0.0,2.3755280224837296
3.0,0.0,14.0,0.0,-1.9204653614348985
7.0,1.0,43.0,0.0,0.9739362254761393
2.0,0.0,11.0,0.0,-1.1439804944239291
6.0,1.0,90.0,0.0,2.8035137300005
8.0,1.0,70.0,0.0,-0.5411131053062166
5.0,1.0,43.0,0.0,-0.8984344361584361
3.0,0.0,3.0,0.0,-1.3576939885276331
2.0,1.0,50.0,0.0,1.4974167129282991
2.0,0.0,50.0,0.0,0.022125349804076988
9.0,0.0,50.0,0.0,0.012509039800626065
1.0,0.0,16.0,0.0,-1.198226156184213
8.0,1.0,19.0,0.0,0.06101845381211446
3.0,0.0,3.0,0.0,-0.6173507335024574
10.0,0.0,100.0,0.0,3.419925767302705
9.0,1.0,50.0,0.0,-1.498100727300989
7.0,0.0,16.0,0.0,-1.148493848889986
7.0,1.0,43.0,0.0,0.9104329617055439
8.0,1.0,70.0,0.0,1.012618033970845
1.0,1.0,4.0,0.0,-2.3331039146710593
6.0,0.0,90.0,0.0,3.018815389170855
1.0,1.0,4.0,0.0,-2.8952058186582805
9.0,1.0,4.0,0.0,-0.07616078592623166
11.0,1.0,17.0,0.0,0.3734724378258427
6.0,1.0,90.0,0.0,2.5148225646453795
2.0,1.0,11.0,0.0,-2.5554758458546356
5.0,0.0,43.0,0.0,1.0274025212301432
1.0,0.0,16.0,0.0,-0.92928872068353
9.0,1.0,50.0,0.0,1.151720700828517
0.0,0.0,44.0,0.0,-0.19544395275969212
7.0,0.0,16.0,0.0,-0.9961984722128788
9.0,1.0,50.0,0.0,1.1968898982623322
10.0,1.0,100.0,0.0,1.8750656507030157
10.0,0.0,100.0,0.0,0.22584416797198958
9.0,1.0,50.0,0.0,-1.5201874506292843
10.0,1.0,100.0,0.0,1.7764367177371323
8.0,0.0,19.0,0.0,-2.542789874956453
6.0,0.0,90.0,0.0,2.445100925264096
8.0,0.0,70.0,0.0,-0.534088196103528
5.0,0.0,43.0,0.0,-0.8697397745173139
8.0,0.0,70.0,0.0,0.9654417595781987
6.0,1.0,90.0,0.0,0.7883170871532813
5.0,0.0,43.0,0.0,-1.4990383912152019
8.0,0.0,70.0,0.0,0.9691487678866072
5.0,1.0,43.0,0.0,-0.8919373474865325
7.0,0.0,43.0,0.0,-0.008683875176377268
6.0,0.0,90.0,0.0,1.718316870209793
8.0,1.0,19.0,0.0,-2.270521870201094
1.0,1.0,16.0,0.0,-0.13906398675140186
9.0,0.0,50.0,0.0,1.1065713649304203
7.0,0.0,16.0,0.0,-1.1431052251064866
10.0,1.0,100.0,0.0,2.890557719489617
10.0,0.0,100.0,0.0,0.22629864372708686
9.0,0.0,50.0,0.0,-1.4838261735695657
2.0,1.0,50.0,0.0,0.011689412557345125
10.0,1.0,100.0,0.0,1.7615566584168012
8.0,0.0,19.0,0.0,-2.5203335948191703
6.0,0.0,1.0,43.0,-1.0
2.0,0.0,50.0,0.0,0.0
4.0,0.0,2.0,0.0,-0.7071067811865477
8.0,0.0,19.0,0.0,0.5613165850550146
0.0,0.0,44.0,0.0,-0.04513511391108642
0.0,1.0,44.0,0.0,0.16839139978208673
2.0,0.0,50.0,0.0,0.40872358061366976
7.0,0.0,16.0,34.0,-0.8632113414172325
9.0,1.0,50.0,0.0,0.5736391539836468
10.0,1.0,100.0,0.0,-0.8849033866611624
9.0,0.0,4.0,0.0,-4.0
9.0,0.0,4.0,10.0,0.0
8.0,0.0,70.0,0.0,0.0
7.0,0.0,43.0,0.0,-1.0
3.0,0.0,14.0,29.0,-0.40002768453476006
0.0,0.0,0.0,11.0,0.45029358587573426
9.0,0.0,4.0,0.0,0.035145141114672485
7.0,0.0,43.0,0.0,1.5386482957607424
1.0,0.0,4.0,86.0,-0.7586844224720167
8.0,1.0,70.0,0.0,2.7647935315338814
10.0,0.0,100.0,0.0,1.2077630923728375
1.0,0.0,16.0,3.0,-1.5039332232877698
2.0,1.0,50.0,0.0,1.028997092197904
2.0,0.0,50.0,0.0,0.018722937749367063
4.0,0.0,2.0,0.0,-1.629105439055099
9.0,0.0,50.0,0.0,1.4962467218618143
