choices,choice_indices,rewards,regret,RPE
7.0,0.0,43.0,0.0,-43.0
11.0,0.0,17.0,0.0,0.0
1.0,0.0,4.0,13.0,0.6742490797760717
9.0,1.0,4.0,13.0,1.1759021773345744
8.0,0.0,70.0,0.0,2.353451674072169
7.0,1.0,43.0,0.0,-0.6424874676039959
7.0,0.0,43.0,0.0,0.060999364918250254
11.0,0.0,17.0,0.0,-1.1169476979165123
9.0,0.0,4.0,0.0,-0.6468035500437875
5.0,0.0,43.0,0.0,1.2105760892111161
0.0,0.0,44.0,6.0,-44.0
9.0,0.0,50.0,0.0,0.0
6.0,1.0,1.0,1.0,-0.614941119536265
7.0,1.0,16.0,0.0,1.1478293523005203
10.0,0.0,100.0,0.0,1.4751941351753899
0.0,1.0,44.0,6.0,-1.2092121772858542
3.0,0.0,3.0,47.0,-0.5482147886624706
7.0,1.0,16.0,34.0,0.2725409566740695
7.0,0.0,16.0,0.0,-0.05110666105868589
9.0,0.0,50.0,0.0,1.1251806668731543
11.0,1.0,17.0,0.0,-1.4653287911687156
6.0,1.0,90.0,0.0,1.931374443829068
6.0,0.0,90.0,0.0,0.4064730996493031
6.0,1.0,90.0,0.0,0.263170054644595
3.0,0.0,14.0,0.0,-2.138851970501132
6.0,0.0,90.0,0.0,2.434215019189077
5.0,1.0,43.0,0.0,-1.306126097201471
5.0,1.0,43.0,0.0,0.012295762851381398
8.0,1.0,70.0,0.0,0.9024884266155115
8.0,0.0,70.0,0.0,0.063626488111586
0.0,1.0,44.0,0.0,-0.7529099104582322
10.0,0.0,100.0,0.0,2.0969082229169755
8.0,1.0,19.0,0.0,-2.652938700691736
2.0,0.0,50.0,0.0,-0.45658041481233047
1.0,0.0,16.0,3.0,-0.5198186286291422
2.0,1.0,50.0,0.0,1.125374781681401
10.0,1.0,100.0,0.0,1.7903728472760652
8.0,0.0,19.0,0.0,-2.4013414687005685
0.0,1.0,44.0,0.0,0.8200332522395948
2.0,1.0,50.0,0.0,0.21587373714356656
8.0,1.0,70.0,0.0,0.6950491732336145
7.0,1.0,43.0,0.0,-0.8629294883994568
0.0,1.0,0.0,11.0,-0.6584595091029825
8.0,1.0,70.0,0.0,2.264893380862793
3.0,0.0,14.0,0.0,-1.8485559912219074
7.0,1.0,43.0,0.0,0.9436271664297834
2.0,0.0,11.0,0.0,-1.3846818750197951
6.0,1.0,90.0,0.0,2.69040770512927
8.0,1.0,70.0,0.0,-0.5298192612149772
5.0,1.0,43.0,0.0,-0.8595459083826914
3.0,0.0,3.0,0.0,-1.370072740314136
2.0,1.0,50.0,0.0,1.520519590685951
2.0,0.0,50.0,0.0,0.027499208628969374
9.0,0.0,50.0,0.0,0.020887098138073323
1.0,0.0,16.0,0.0,-1.2069844565879162
8.0,1.0,19.0,0.0,0.050642838378516686
3.0,0.0,3.0,0.0,-0.6221935148521364
10.0,0.0,100.0,0.0,3.458209597797195
9.0,1.0,50.0,0.0,-1.4913970056262182
1.0,1.0,16.0,0.0,-1.1668015947763215
7.0,1.0,43.0,0.0,0.8984074159248499
8.0,1.0,70.0,0.0,0.9783199717790444
1.0,1.0,4.0,0.0,-2.287708999979589
6.0,0.0,90.0,0.0,2.931384572129386
1.0,1.0,4.0,0.0,-2.845466750489679
9.0,1.0,4.0,0.0,-0.07788548410401752
11.0,1.0,17.0,0.0,0.332692213042304
6.0,1.0,90.0,0.0,2.4488072458557264
2.0,1.0,11.0,0.0,-2.5308861313566116
5.0,0.0,43.0,0.0,1.0191552430915343
1.0,0.0,16.0,0.0,-0.9431844417454082
9.0,1.0,50.0,0.0,1.1740087388023666
0.0,0.0,44.0,0.0,-0.13590540329747336
7.0,0.0,16.0,0.0,-1.0032736098557562
9.0,1.0,50.0,0.0,1.2162509023504429
10.0,1.0,100.0,0.0,1.8866341591552145
10.0,0.0,100.0,0.0,0.2201382737821287
9.0,1.0,50.0,0.0,-1.5077731858388042
10.0,1.0,100.0,0.0,1.7664200296695347
8.0,0.0,19.0,0.0,-2.5625828130743282
6.0,0.0,90.0,0.0,2.3836250913913135
8.0,0.0,70.0,0.0,-0.51478349691319
7.0,1.0,43.0,0.0,-0.8251828267572614
8.0,0.0,70.0,0.0,0.9533135133438349
6.0,1.0,90.0,0.0,0.770657550936049
5.0,0.0,43.0,0.0,-1.4508312855704835
8.0,0.0,70.0,0.0,0.9599009349966696
5.0,1.0,43.0,0.0,-0.8517780768869261
7.0,0.0,43.0,0.0,0.028325051457249034
6.0,0.0,90.0,0.0,1.6835194509075153
8.0,1.0,19.0,0.0,-2.2878934480565953
1.0,1.0,16.0,0.0,-0.14674278554843045
9.0,0.0,50.0,0.0,1.1294041011991072
7.0,0.0,16.0,0.0,-1.149914778714082
10.0,1.0,100.0,0.0,2.881929875604542
10.0,0.0,100.0,0.0,0.2025135994742675
9.0,0.0,50.0,0.0,-1.4637420357679323
2.0,1.0,50.0,0.0,0.01676080325189866
10.0,1.0,100.0,0.0,1.7335782993468989
8.0,0.0,19.0,0.0,-2.537994078805655
6.0,0.0,1.0,43.0,-1.0
2.0,0.0,50.0,0.0,0.0
4.0,0.0,2.0,0.0,-1.178482237287454
8.0,0.0,19.0,0.0,0.7748163293534855
0.0,0.0,44.0,0.0,0.4033746502249104
0.0,1.0,44.0,0.0,0.1640406411546138
2.0,0.0,50.0,0.0,0.404813384796769
9.0,1.0,50.0,0.0,-0.4787154509494925
9.0,1.0,50.0,0.0,0.08939255829218129
10.0,1.0,100.0,0.0,0.08386331036198413
9.0,0.0,4.0,0.0,-4.0
9.0,0.0,4.0,10.0,0.0
8.0,0.0,70.0,0.0,0.0
7.0,0.0,43.0,0.0,-0.3311363870710231
5.0,1.0,43.0,0.0,0.2857827378833631
2.0,1.0,11.0,0.0,-0.313195359420766
0.0,1.0,0.0,4.0,0.33199881238802936
7.0,0.0,43.0,0.0,1.6092434662458623
6.0,1.0,90.0,0.0,-0.045043688807356985
8.0,1.0,70.0,0.0,-0.31916546977029925
10.0,0.0,100.0,0.0,1.2166561667220186
1.0,0.0,16.0,3.0,-1.6835125354095053
2.0,1.0,50.0,0.0,1.0516300084422707
2.0,0.0,50.0,0.0,0.01987848515088747
4.0,0.0,2.0,0.0,-1.6793028432088266
9.0,0.0,50.0,0.0,1.5279540777504117
